"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
206.6,1.264,206.6,2.472,1503585.0996464607," D. E. Aspnes and  A. A. Studna, 'Dielectric functions and optical parameters of Si, Ge, GaP, GaAs, GaSb, InP, InAs, and InSb from 1.5 to 6.0 eV', <i>Physical Review B</i> <b>27</b>(2), pp.985-1009, (1983)",Pure; IR extension per SOPRA database
208.4,1.272828,208.4,2.520922,1520097.8954842398,,
210.1,1.288,210.1,2.557,1529376.947211633,,
211.9,1.300125,211.9,2.591,1536548.667381058,,
213.8,1.311,213.8,2.625,1542877.5894617788,,
215.6,1.317938,215.6,2.665188,1553420.230284912,,
217.5,1.325,217.5,2.71,1565740.890340844,,
219.4,1.33575,219.4,2.76025,1580962.8299127123,,
221.4,1.349,221.4,2.815,1597756.6973541589,,
223.4,1.364562,223.4,2.873125,1616148.324591795,,
225.4,1.383,225.4,2.936,1636861.7623672816,,
227.5,1.404313,227.5,3.004063,1659348.0882146666,,
229.6,1.43,229.6,3.079,1685185.327596337,,
231.7,1.461188,231.7,3.161625,1714723.845214645,,
233.9,1.499,233.9,3.255,1748761.7079837157,,
236.2,1.540625,236.2,3.361063,1788161.0210080391,,
238.4,1.599,238.4,3.484,1836461.2089105435,,
240.7,1.677312,240.7,3.635749,1898137.4904356357,,
243.1,1.802,243.1,3.795,1961718.4895719069,,
245.5,2.011624,245.5,3.961249,2027638.4126175013,,
248,2.273,248,4.084,2069397.4834291476,,
250.5,2.582689,250.5,4.100875,2057210.1833596877,,
253,2.89,253,4.047,2010122.6038067816,,
255.6,3.138564,255.6,3.926062,1930217.1418995385,,
258.3,3.342,258.3,3.77,1834116.0362421249,,
261,3.487563,261,3.611375,1738769.2213575232,,
263.8,3.598,263.8,3.452,1644393.9105673945,,
266.6,3.6905,266.6,3.306251,1558423.683799536,,
269.5,3.769,269.5,3.169,1477655.9731689878,,
272.5,3.845312,272.5,3.048563,1405848.5320815651,,
275.5,3.913,275.5,2.919,1331442.3166357323,,
278.6,3.97775,278.6,2.744312,1237833.5130449838,,
281.8,4.015,281.8,2.563,1142924.3394110205,,
285,3.991437,285,2.401187,1058744.0616274127,,
288.3,3.939,288.3,2.26,985084.8972754674,,
291.7,3.877125,291.7,2.151813,926996.2170310613,,
295.2,3.81,295.2,2.069,880752.7371649434,,
298.8,3.748625,298.8,2.010125,845380.7138952053,,
302.4,3.692,302.4,1.969,818226.9755182941,,
306.1,3.643063,306.1,1.93925,796123.3000292723,,
310,3.601,310,1.92,778304.2445022454,,
313.9,3.566125,313.9,1.908625,764080.570685928,,
317.9,3.538,317.9,1.904,752638.2400043997,,
322,3.516562,322,1.904125,743103.7405610764,,
326.3,3.501,326.3,1.909,735188.5229179179,,
330.6,3.490062,330.6,1.918187,729118.2319917054,,
335.1,3.485,335.1,1.931,724131.9503529562,,
339.7,3.48675,339.7,1.946375,720013.8240954765,,
344.4,3.495,344.4,1.965,716983.6892339076,,
349.3,3.509562,349.3,1.987188,714908.127352052,,
354.2,3.531,354.2,2.013,714175.7212508474,,
359.4,3.558688,359.4,2.042125,714026.1433179807,,
364.7,3.596,364.7,2.076,715321.7821609445,,
370.1,3.64225,370.1,2.115062,718147.8779883204,,
375.7,3.709,375.7,2.162,723143.2863519972,,
381.5,3.803375,381.5,2.23925,737594.8990354857,,
387.5,3.938,387.5,2.288,741983.3797588074,,
393.6,4.161312,393.6,2.23725,714281.3175044477,,
