"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
206.6,1.023,206.6,2.774,1687275.5123055347," D. E. Aspnes and  A. A. Studna, 'Dielectric functions and optical parameters of Si, Ge, GaP, GaAs, GaSb, InP, InAs, and InSb from 1.5 to 6.0 eV', <i>Physical Review B</i> <b>27</b>(2), pp.985-1009, (1983)",Pure; IR extension per SOPRA database
208.4,1.0625,208.4,2.80225,1689736.662864107,,
210.1,1.108,210.1,2.831,1693260.1241909005,,
211.9,1.1575,211.9,2.856,1693702.4291934778,,
213.8,1.209,213.8,2.873,1688642.7864852154,,
215.6,1.262688,215.6,2.873375,1674763.2265322027,,
217.5,1.31,217.5,2.866,1655872.1002645234,,
219.4,1.340062,219.4,2.855812,1635696.9916560752,,
221.4,1.36,221.4,2.846,1615351.886561256,,
223.4,1.372937,223.4,2.842,1598640.344046946,,
225.4,1.38,225.4,2.842,1584455.4252887652,,
227.5,1.3835,227.5,2.845062,1571521.0335309862,,
229.6,1.383,229.6,2.854,1562039.2741019635,,
231.7,1.377625,231.7,2.8715,1557373.0349215525,,
233.9,1.371,233.9,2.897,1556424.782804554,,
236.2,1.366375,236.2,2.931438,1559590.8696450393,,
238.4,1.364,238.4,2.973,1567106.5367655125,,
240.7,1.365062,240.7,3.02,1576669.682399863,,
243.1,1.37,243.1,3.073,1588500.9007785167,,
245.5,1.379812,245.5,3.132187,1603267.7260887094,,
248,1.394,248,3.197,1619947.0505688016,,
250.5,1.412063,250.5,3.266813,1638801.7120082448,,
253,1.435,253,3.342,1659952.9878730576,,
255.6,1.463563,255.6,3.422063,1682430.043962668,,
258.3,1.498,258.3,3.509,1707138.772194593,,
261,1.537563,261,3.60375,1735098.0115516041,,
263.8,1.586,263.8,3.709,1766818.370305465,,
266.6,1.643937,266.6,3.825937,1803381.1811398908,,
269.5,1.72,269.5,3.96,1846487.110681348,,
272.5,1.809687,272.5,4.120937,1900375.1053367134,,
275.5,1.953,275.5,4.297,1959988.9121561293,,
278.6,2.197689,278.6,4.514188,2036143.5545905528,,
281.8,2.516,281.8,4.669,2082057.6436636965,,
285,2.936752,285,4.642375,2046940.518625813,,
288.3,3.338,288.3,4.507,1964503.3770002353,,
291.7,3.585125,291.7,4.272563,1840610.5632909932,,
295.2,3.745,295.2,4.009,1706591.456401285,,
298.8,3.830187,298.8,3.797751,1597186.9667688475,,
302.4,3.869,302.4,3.614,1501814.2658827398,,
306.1,3.893812,306.1,3.462751,1421568.5204587663,,
310,3.905,310,3.336,1352303.6248226515,,
313.9,3.91375,313.9,3.228563,1292491.8512203663,,
317.9,3.92,317.9,3.137,1240034.747318173,,
322,3.927562,322,3.05675,1192927.1234609443,,
326.3,3.936,326.3,2.986,1149959.6277804626,,
330.6,3.946312,330.6,2.921562,1110509.1005695227,,
335.1,3.958,335.1,2.863,1073635.3049510685,,
339.7,3.970687,339.7,2.809062,1039143.7789435681,,
344.4,3.985,344.4,2.759,1006696.1824917815,,
349.3,4.001062,349.3,2.712,975665.5341008325,,
354.2,4.02,354.2,2.667,946203.004757084,,
359.4,4.043563,359.4,2.624125,917521.627390241,,
364.7,4.07,364.7,2.579,888639.1503820212,,
370.1,4.100312,370.1,2.526562,857868.534778615,,
375.7,4.128,375.7,2.469,825828.2950985574,,
381.5,4.147125,381.5,2.405437,792335.854036495,,
387.5,4.157,387.5,2.34,758846.6383896893,,
393.6,4.1545,393.6,2.273813,725954.6967923748,,
399.9,4.141,399.9,2.215,696036.7819656306,,
406.5,4.113312,406.5,2.1725,671597.5439039435,,
413.3,4.082,413.3,2.145,652186.4255456189,,
420.3,4.055938,420.3,2.135563,638502.8819489107,,
427.5,4.037,427.5,2.14,629053.4061924827,,
435,4.03025,435,2.1565,622974.2121808174,,
442.8,4.035,442.8,2.181,618953.349365794,,
450.9,4.05225,450.9,2.20875,615568.2212123714,,
459.2,4.082,459.2,2.24,612993.6885053257,,
467.9,4.123937,467.9,2.2735,610592.9384856931,,
