"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
250,1.665,250,3.661,1840219.3127667576," Martin A. Green, 'Self-consistent optical parameters of intrinsic silicon at 300 K including temperature coefficients', <i>Solar Energy Materials and Solar Cells</i> <b>92</b>(11), pp.1305-1310, (2008)",-
260,1.757,260,4.076,1970020.2547741535,,
270,2.068,270,4.684,2180032.591024384,,
280,2.959,280,5.281,2370107.2576582427,,
290,4.356,290,5.285,2290112.713685801,,
300,4.976,300,4.226,1770182.740542729,,
310,5.121,310,3.602,1460131.1920297334,,
320,5.112,320,3.31,1299833.9604227769,,
330,5.195,330,3.099,1180096.4404211843,,
340,5.301,340,2.976,1099927.027892144,,
350,5.494,350,2.952,1059883.6015310937,,
360,6.026,360,2.979,1039867.1683382216,,
370,6.891,370,2.17,737000.6549502541,,
380,6.616,380,0.9465,313001.8364866042,,
390,6.039,390,0.4438,142998.85329878464,,
400,5.613,400,0.296,92991.14254625789,,
410,5.33,410,0.2268,69513.4842765039,,
420,5.119,420,0.1761,52688.99679020596,,
430,4.949,430,0.1376,40212.38596594936,,
440,4.812,440,0.1075,30701.928205536613,,
450,4.691,450,0.0863,24099.506311537705,,
460,4.587,460,0.07138,19499.72900984691,,
470,4.497,470,0.06209,16600.977690331085,,
480,4.419,480,0.055,14398.966328953218,,
490,4.35,490,0.04913,12599.709964968697,,
500,4.294,500,0.04417,11101.131800724894,,
510,4.241,510,0.03937,9700.74531543766,,
520,4.193,520,0.03641,8798.876039784951,,
530,4.151,530,0.03311,7850.425113989287,,
540,4.112,540,0.0303,7051.130178057092,,
550,4.077,550,0.02797,6390.570656065929,,
560,4.045,560,0.02576,5780.53048260522,,
570,4.015,570,0.02413,5319.763560078716,,
580,3.988,580,0.02252,4879.218383368424,,
590,3.963,590,0.02108,4489.81512797782,,
600,3.94,600,0.01993,4174.1294390696385,,
610,3.918,610,0.01845,3800.8120956545367,,
620,3.898,620,0.01737,3520.610605990626,,
630,3.879,630,0.01644,3279.22433174706,,
640,3.861,640,0.01543,3029.673415305657,,
650,3.844,650,0.01443,2789.7342763877364,,
660,3.828,660,0.0135,2570.39398930074,,
670,3.813,670,0.01274,2389.485994431878,,
680,3.798,680,0.0119,2199.1148575128555,,
690,3.784,690,0.0112,2039.758708417721,,
700,3.772,700,0.01053,1890.3411795600298,,
710,3.759,710,0.01006,1780.5308222599056,,
720,3.748,720,0.009626,1680.0539379697414,,
730,3.737,730,0.008946,1539.9828974802351,,
740,3.727,740,0.008362,1419.9998794225864,,
750,3.717,750,0.007818,1309.9184728408002,,
760,3.708,760,0.007197,1190.0022277834603,,
770,3.699,770,0.00674,1099.9654278023484,,
780,3.691,780,0.006393,1029.9590684307461,,
790,3.683,790,0.005834,928.0026096730558,,
800,3.675,800,0.005411,849.9578924287187,,
810,3.668,810,0.004995,774.9261878854825,,
820,3.661,820,0.004613,706.9349712687665,,
830,3.654,830,0.004273,646.9409835561054,,
840,3.647,840,0.003944,590.0210202741973,,
850,3.641,850,0.003612,533.9968312831217,,
860,3.635,860,0.003278,478.98328923103924,,
870,3.63,870,0.002984,431.0120679683652,,
880,3.624,880,0.002682,382.98870440581027,,
890,3.619,890,0.002429,342.9630811491959,,
900,3.614,900,0.00217,302.98915814621563,,
910,3.609,910,0.001962,270.9364741249747,,
920,3.604,920,0.001757,239.9903605372725,,
930,3.6,930,0.001547,209.03414344530796,,
940,3.595,940,0.001369,183.01448267082668,,
950,3.591,950,0.001179,155.95527320346804,,
960,3.587,960,0.001024,134.0412865531645,,
970,3.583,970,0.0008722,112.99369535921721,,
980,3.579,980,0.0007487,96.00450692827259,,
990,3.575,990,0.0006224,79.0031219230015,,
1000,3.572,1000,0.0005093,64.00052553893127,,
1010,3.568,1010,0.0004107,51.09909318135953,,
1020,3.565,1020,0.0003239,39.904386686185646,,
1030,3.562,1030,0.0002475,30.195890553921313,,
1040,3.559,1040,0.000187,22.595301008511203,,
1050,3.556,1050,0.0001362,16.3003778826259,,
1060,3.553,1060,0.00009363,11.099898873796691,,
1070,3.55,1070,0.00006812,8.000197815421934,,
1080,3.547,1080,0.00005329,6.200573055918522,,
1090,3.545,1090,0.00004077,4.700283760985536,,
1100,3.542,1100,0.00003064,3.500305414763319,,
1110,3.54,1110,0.00002385,2.7000715238960926,,
1120,3.537,1120,0.00001783,2.000521321910929,,
1130,3.535,1130,0.00001349,1.5001799963513738,,
1140,3.532,1140,0.000009072,1.0000185457321615,,
1150,3.53,1150,0.000006223,0.6800045594187578,,
1160,3.528,1160,0.000003877,0.4199984385506079,,
1170,3.526,1170,0.000002048,0.21996518818980842,,
1180,3.524,1180,6.104e-7,0.06500434426275287,,
1190,3.522,1190,3.409e-7,0.03599895581878187,,
1200,3.52,1200,2.101e-7,0.02200162055064052,,
1210,3.518,1210,1.252e-7,0.013002558685270815,,
1220,3.517,1220,7.961e-8,0.008200071841058473,,
1230,3.515,1230,4.6e-8,0.00469961827854083,,
1240,3.513,1240,2.368e-8,0.0023997714205485905,,
1250,3.511,1250,9.947e-9,0.0009999815080082453,,
1260,3.509,1260,3.61e-9,0.0003600364914114017,,
1270,3.508,1270,2.021e-9,0.00019997350402850306,,
1280,3.506,1280,1.222e-9,0.00011996956945896021,,
1290,3.505,1290,7.289e-10,0.00007100486465741396,,
1300,3.503,1300,4.655e-10,0.000044997273238339963,,
1310,3.502,1310,2.815e-10,0.000027003307846886314,,
1320,3.5,1320,1.681e-10,0.000016003082577831647,,
1330,3.499,1330,8.467e-11,0.000007999959397878129,,
1340,3.497,1340,3.732e-11,0.0000034998279949842113,,
1350,3.496,1350,1.826e-11,0.0000016997179808755443,,
1360,3.495,1360,1.028e-11,9.498697787912669e-7,,
1370,3.494,1370,6.541e-12,5.999754028359368e-7,,
1380,3.492,1380,4.173e-12,3.7999612009942634e-7,,
1390,3.491,1390,2.544e-12,2.2999170390596933e-7,,
1400,3.49,1400,1.56e-12,1.4002527256000222e-7,,
1410,3.489,1410,9.537e-13,8.499679187882514e-8,,
1420,3.488,1420,5.65e-13,4.9999995754316436e-8,,
1430,3.487,1430,2.845e-13,2.5000926152343947e-8,,
1440,3.486,1440,2.063e-13,1.800307123432151e-8,,
1450,3.485,1450,1.385e-13,1.2003050552336174e-8,,
