"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
276.0313,2.206,276.0807,0.0204,9285.471984565642," P. M. Kaminski,  K. Bass and  G. Claudio, 'High bandgap dielectrics for antireflective coating in silicon solar cells by reactive ion sputtering', <i>physica status solidi (c)</i> <b>8</b>(4), pp.1311-1314, (2011)",Reactive ion sputtering of Al target in Ar and N<sub>2</sub>
281.3033,2.2029,278.9033,0.0205,9236.556096480861,,
286.5753,2.194,281.7259,0.0197,8787.175801120013,,
291.8474,2.187,284.5484,0.0188,8302.551254899077,,
297.1194,2.177,287.371,0.0177,7739.986285121233,,
302.3914,2.1693,290.1935,0.017,7361.581167190374,,
307.6635,2.1594,293.0161,0.016,6861.804857471886,,
312.9355,2.1519,295.8387,0.0152,6456.519493165005,,
318.2076,2.143,298.6613,0.0144,6058.894702687362,,
323.4796,2.1376,301.4838,0.0138,5752.080691505036,,
328.7517,2.1295,304.3064,0.013,5368.366159458666,,
334.0237,2.1243,307.129,0.0126,5155.3669546322735,,
339.2958,2.1185,309.9515,0.0117,4743.533623421804,,
344.5678,2.1126,312.7741,0.011,4419.486036661952,,
349.8398,2.1048,315.5966,0.0106,4220.6895927334845,,
355.1119,2.1033,318.4192,0.0101,3985.951324701137,,
360.3839,2.0986,321.2418,0.0096,3755.3381252952777,,
365.656,2.0939,324.0644,0.0093,3606.296980277386,,
370.928,2.0887,326.8869,0.0086,3306.060514614959,,
376.2001,2.0822,329.7095,0.0083,3163.4173749673923,,
381.4721,2.0793,332.532,0.0079,2985.4067534383903,,
386.7441,2.0757,335.3546,0.0071,2660.5041756382684,,
392.0162,2.0713,338.1772,0.007,2601.13911583969,,
397.2882,2.0668,340.9998,0.007,2579.6083839496155,,
402.5603,2.0635,343.8223,0.0067,2448.784826237462,,
407.8323,2.0611,346.6449,0.0065,2356.3424413090925,,
413.1044,2.0593,349.4675,0.0055,1977.7243485867912,,
418.3764,2.0539,352.29,0.0053,1890.5380299214744,,
423.6484,2.051,355.1126,0.0054,1910.8981578670973,,
428.9205,2.0479,357.9352,0.0049,1720.2894828549959,,
434.1925,2.0448,360.7577,0.0047,1637.1637220075447,,
439.4646,2.0428,363.5803,0.0043,1486.2024604123062,,
444.7366,2.0398,366.4029,0.0041,1406.1602547052062,,
450.0087,2.0381,369.2254,0.004,1361.3766132404949,,
455.2807,2.0354,372.048,0.0037,1249.7196940483202,,
460.5527,2.032,374.8705,0.0035,1173.2664253457422,,
465.8248,2.0299,377.6931,0.0034,1131.2269164785162,,
471.0968,2.0278,380.5157,0.0032,1056.7865127759342,,
476.3689,2.0258,383.3383,0.0031,1016.2237612185747,,
481.6409,2.0237,386.1608,0.003,976.2542402822223,,
486.913,2.0213,388.9834,0.0028,904.5588505886287,,
492.185,2.0195,391.806,0.0027,865.9693996204696,,
497.457,2.0167,394.6285,0.002,636.8709109635606,,
502.7291,2.0152,397.4511,0.0024,758.8176123921158,,
508.0011,2.0137,400.2737,0.0022,690.6777875136482,,
513.2732,2.012,403.0962,0.0021,654.667007283975,,
518.5452,2.0104,405.9188,0.002,619.1568665634197,,
523.8173,2.0086,408.7414,0.0019,584.1371626970605,,
529.0893,2.0065,411.5639,0.0019,580.1311574528871,,
534.3613,2.005,414.3865,0.0018,545.8543438516098,,
539.6334,2.003,417.209,0.0016,481.92136274564257,,
544.9055,2.0018,420.0316,0.0015,448.7651862750031,,
550.1775,2.0013,422.8542,0.0014,416.0516523213638,,
555.4495,1.9995,425.6768,0.0014,413.2928752542502,,
560.7216,1.9972,428.4993,0.0013,381.2440720128813,,
565.9936,1.9964,431.3219,0.0012,349.6146320701779,,
571.2656,1.9951,434.1445,0.0011,318.3964711241324,,
576.5377,1.994,436.967,0.001,287.5816849867192,,
581.8098,1.9925,439.7896,0.0009,257.1623692993935,,
587.0818,1.9914,442.6122,0.0009,255.52240884736696,,
592.3538,1.9899,445.4347,0.0007,197.48033617613132,,
597.6259,1.9887,448.2573,0.0006,168.20300235189708,,
602.8979,1.9847,451.0799,0.0005,139.29207014499175,,
608.1699,1.9847,453.9024,0.0004,110.74072852982643,,
613.442,1.9842,456.725,0.0005,137.57042656258332,,
618.7141,1.9831,459.5475,0.0002,54.69019248003383,,
623.9861,1.9831,462.3701,0.0002,54.35632889911857,,
629.2581,1.9825,465.1927,0.0002,54.02651681489917,,
634.5302,1.9816,468.0153,0.0002,53.70068292365302,,
639.8022,1.9808,470.8378,0.0002,53.37876701640851,,
645.0742,1.9795,473.6604,0.0002,53.06067644396354,,
650.3463,1.9778,476.483,0.0002,52.746354494742405,,
655.6183,1.9769,479.3055,0.0001,26.217872764571183,,
660.8904,1.9769,482.1281,0.0001,26.06438125958469,,
666.1624,1.9753,484.9507,0.0001,25.91267651404395,,
671.4344,1.9745,487.7732,0.0001,25.762732791303776,,
676.7065,1.9738,490.5958,0.0001,25.614509162857026,,
681.9785,1.9722,493.4184,0.0001,25.467981360969052,,
687.2506,1.9714,496.2409,0.0001,25.323125551237663,,
692.5226,1.9701,499.0635,0.0001,25.179903187388323,,
697.7947,1.9691,501.886,0.0001,25.038296773289495,,
703.0667,1.9671,504.7086,0.0001,24.898269247560222,,
708.3387,1.9644,507.5312,0.0001,24.759799228814252,,
713.6108,1.9644,510.3538,0,0,,
718.8828,1.966,513.1763,0,0,,
724.1549,1.9648,515.9989,0,0,,
729.4269,1.9644,518.8215,0,0,,
734.699,1.9631,521.644,0,0,,
739.971,1.9644,524.4666,0,0,,
745.243,1.9628,527.2892,0,0,,
750.5151,1.9615,530.1118,0,0,,
755.7872,1.9613,532.9343,0,0,,
761.0592,1.9597,535.7568,0,0,,
766.3312,1.9597,538.5794,0,0,,
771.6033,1.9597,541.402,0,0,,
776.8753,1.9589,544.2245,0,0,,
782.1473,1.9585,547.0471,0,0,,
787.4194,1.9585,549.8697,0,0,,
792.6915,1.9585,552.6923,0,0,,
797.9635,1.9584,555.5148,0,0,,
