"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
61.99,0.793,61.99,0.494,1001417.5001602566," E. Palik, 'Handbook of Optical Constants of Solids Vol I', <i>Academic Press</i>, pp.508, (1985)",-
63.58,0.815,63.58,0.499,986256.517232656,,
65.26,0.834,65.26,0.493,949313.6244068453,,
67.02,0.843,67.02,0.487,913133.7644274719,,
68.88,0.846,68.88,0.477,870232.1113602389,,
70.85,0.84,70.85,0.469,831845.8458905367,,
72.93,0.824,72.93,0.454,782275.0937774667,,
75.14,0.785,75.14,0.457,764284.1856217916,,
77.49,0.742,77.49,0.491,796243.1244870762,,
79.99,0.719,79.99,0.529,831055.1387668463,,
82.66,0.695,82.66,0.574,872622.3968838817,,
85.51,0.675,85.51,0.645,947878.4991535103,,
88.56,0.688,88.56,0.706,1001790.6113073142,,
91.84,0.701,91.84,0.765,1046741.4547021742,,
95.37,0.726,95.37,0.82,1080468.0616309657,,
99.19,0.754,99.19,0.861,1090799.9898138167,,
103.3,0.771,103.3,0.899,1093627.0263609774,,
107.8,0.781,107.8,0.946,1102763.135545805,,
112.7,0.793,112.7,0.996,1110568.3346851585,,
118.1,0.797,118.1,1.056,1123631.4452805493,,
124,0.806,124,1.154,1169483.2007234262,,
125.2,0.82,125.2,1.172,1176340.763580587,,
126.5,0.832,126.5,1.185,1177165.942926136,,
127.8,0.84,127.8,1.198,1177974.3345854685,,
129.1,0.847,129.1,1.21,1177793.0630034546,,
130.5,0.852,130.5,1.225,1179601.8392789264,,
131.9,0.859,131.9,1.237,1178514.0598910006,,
133.3,0.861,133.3,1.253,1181219.983480273,,
134.8,0.865,134.8,1.269,1182991.4176277292,,
136.2,0.868,136.2,1.287,1187438.9853656576,,
137.8,0.872,137.8,1.304,1189154.3745373266,,
139.3,0.874,139.3,1.324,1194391.5788522288,,
140.9,0.875,140.9,1.346,1200449.5987883213,,
142.5,0.877,142.5,1.375,1212544.5329644815,,
144.2,0.885,144.2,1.403,1222650.3447951402,,
145.9,0.894,145.9,1.433,1234243.2549949756,,
147.6,0.909,147.6,1.458,1241312.2192232842,,
149.4,0.919,149.4,1.486,1249908.0811872645,,
151.2,0.934,151.2,1.512,1256637.0614359176,,
151.3,0.947,151.3,1.539,1278231.6176800241,,
155,0.96,155,1.566,1269608.798844288,,
156.9,0.973,156.9,1.594,1276659.9591643417,,
159,0.984,159,1.627,1285879.5590919731,,
161,1,161,1.664,1298785.1367884264,,
163.1,1.022,163.1,1.7,1309799.5122262782,,
165.3,1.046,165.3,1.736,1319734.990110558,,
167.5,1.072,167.5,1.771,1328659.2452555278,,
169.8,1.1,169.8,1.812,1341004.9206842652,,
172.2,1.136,172.2,1.847,1347856.3603206384,,
174.6,1.174,174.6,1.882,1354519.4442281767,,
177.1,1.215,177.1,1.915,1358814.2138056362,,
179.7,1.261,179.7,1.941,1357335.8576778607,,
182.3,1.307,182.3,1.966,1355210.3471108135,,
185.1,1.354,185.1,1.986,1348288.062675166,,
187.9,1.402,187.9,1.994,1333546.7272502496,,
190.7,1.453,190.7,2.01,1324509.9598773955,,
193.7,1.496,193.7,2.008,1302698.6160884472,,
196.8,1.526,196.8,1.991,1271323.3685563572,,
200,1.525,200,1.982,1245327.3278829942,,
203.3,1.508,203.3,2.005,1239329.7138116152,,
206.6,1.336,206.6,2.113,1285224.642213985,,
208.7,1.318,208.7,2.151,1295173.1284852219,,
210.1,1.301,210.1,2.183,1305682.3917727785,,
212.3,1.301,212.3,2.239,1325299.2842934614,,
213.8,1.299,213.8,2.28,1340099.391989659,,
216,1.311,216,2.341,1361938.5929729086,,
217.5,1.325,217.5,2.383,1376812.0080008232,,
219.8,1.352,219.8,2.446,1398423.226693473,,
